N,P,K,temperature,humidity,ph,rainfall,label
30.794,5.287,89.637,23.199,72.851,7.234,128.955,Wheat
104.991,9.5,89.022,12.256,84.368,8.484,236.202,Wheat
25.7,38.798,73.209,44.386,94.819,7.52,399.449,Wheat
108.75,18.934,20.107,14.338,58.45,6.584,97.369,Wheat
79.953,12.671,87.375,37.024,44.508,5.256,300.641,Wheat
73.501,31.9,75.093,44.662,41.251,7.751,48.575,Wheat
118.32,49.308,97.983,32.486,74.508,6.034,263.822,Wheat
45.551,49.821,75.671,13.164,91.427,6.818,310.091,Wheat
103.633,44.833,89.0,32.051,43.464,6.414,140.113,Wheat
74.201,7.422,66.963,17.342,73.701,6.843,63.769,Wheat
39.857,48.637,95.447,24.707,73.835,7.916,251.888,Wheat
36.633,84.428,36.53,40.941,86.105,6.249,64.815,Wheat
90.822,6.142,62.036,20.926,59.9,7.928,41.848,Wheat
120.006,23.014,33.518,19.516,76.271,7.707,170.79,Wheat
25.346,53.434,78.034,37.569,32.478,4.81,226.761,Wheat
123.178,80.814,31.498,21.626,37.227,7.828,135.038,Wheat
54.697,59.774,61.736,15.274,57.204,7.419,316.322,Wheat
12.13,41.86,99.167,38.544,80.379,5.682,333.896,Wheat
52.244,27.552,64.737,23.908,63.487,6.773,317.214,Wheat
101.081,88.978,51.858,20.366,64.666,6.603,45.514,Wheat
44.992,57.074,42.406,15.09,94.806,7.707,196.15,Wheat
5.044,47.314,86.921,16.562,95.231,4.998,144.443,Wheat
127.65,45.498,63.208,29.537,42.181,5.527,266.922,Wheat
145.853,37.971,50.494,41.573,64.215,6.834,73.884,Wheat
14.52,32.159,99.446,40.218,32.952,5.449,62.306,Wheat
7.58,10.547,95.8,22.687,45.927,8.286,261.657,Wheat
63.988,30.688,23.325,30.149,31.63,8.157,217.647,Wheat
128.959,79.654,58.684,36.41,55.658,5.817,136.669,Wheat
142.596,34.261,25.573,30.426,70.322,5.438,92.411,Wheat
82.425,79.778,46.49,39.601,57.321,6.103,207.112,Wheat
128.253,77.914,72.531,29.872,35.541,7.945,185.841,Wheat
144.942,26.489,83.283,30.606,89.579,5.606,62.026,Wheat
51.64,31.25,46.069,25.213,46.775,7.087,168.457,Wheat
75.084,21.775,27.517,13.827,37.431,7.625,277.743,Wheat
8.602,12.247,11.435,41.517,65.348,7.834,78.047,Wheat
7.815,48.626,28.5,21.373,30.177,5.724,241.669,Wheat
49.089,33.15,50.545,15.162,60.279,5.775,49.431,Wheat
142.215,84.848,71.505,40.69,64.278,7.446,352.554,Wheat
73.894,50.655,16.596,32.355,65.248,4.634,221.278,Wheat
83.372,78.229,22.063,15.368,95.767,5.916,123.818,Wheat
110.252,62.01,98.887,10.531,76.642,7.74,273.091,Wheat
117.184,71.707,34.63,17.74,53.241,5.067,269.313,Wheat
32.4,77.748,90.174,21.606,90.308,8.118,138.991,Wheat
133.277,57.435,53.715,10.084,81.95,5.75,282.862,Wheat
20.32,75.555,73.077,42.652,32.966,6.862,352.966,Wheat
76.217,80.114,34.41,17.369,44.269,4.721,173.081,Wheat
55.82,80.404,50.705,19.761,37.204,7.493,260.012,Wheat
37.647,16.195,75.818,38.296,87.071,7.136,38.7,Wheat
102.95,28.442,46.74,37.298,55.097,4.567,188.146,Wheat
134.339,67.976,22.537,43.797,97.954,7.667,121.625,Wheat
100.383,23.171,52.634,25.924,95.101,7.896,161.128,Wheat
35.828,13.593,51.5,18.676,36.314,5.107,327.663,Wheat
110.405,73.43,99.412,31.987,99.185,8.262,79.944,Wheat
59.374,62.887,53.329,28.808,99.263,6.365,107.671,Wheat
119.975,16.599,32.868,43.306,57.105,5.258,114.639,Wheat
90.286,84.336,37.517,26.759,85.171,6.577,223.376,Wheat
81.435,11.335,28.391,34.413,55.579,4.987,166.354,Wheat
118.634,29.511,77.418,14.112,59.86,7.701,234.621,Wheat
149.1,27.343,18.686,24.255,96.305,4.697,118.837,Wheat
80.738,85.366,15.247,30.088,40.814,7.076,216.613,Wheat
51.282,14.886,17.488,10.814,58.488,4.591,34.668,Wheat
147.772,51.492,94.458,22.005,54.502,8.142,310.819,Wheat
109.591,43.819,32.091,23.967,84.191,6.628,34.856,Wheat
123.387,49.084,89.844,42.958,56.195,5.227,179.205,Wheat
66.453,50.925,35.879,10.787,70.562,6.116,326.051,Wheat
10.123,55.437,63.493,26.532,79.094,4.705,220.057,Wheat
15.128,6.083,79.632,32.279,33.482,5.038,377.509,Wheat
11.882,13.843,88.296,32.043,52.721,7.778,317.621,Wheat
131.039,66.712,53.17,37.097,31.913,7.082,220.549,Wheat
147.385,19.594,62.02,10.751,93.693,7.894,196.952,Wheat
121.428,36.476,85.611,44.424,63.75,5.567,151.109,Wheat
58.177,88.565,48.992,44.093,86.528,7.223,292.609,Wheat
140.981,58.59,42.418,29.371,40.829,7.634,389.044,Wheat
130.121,15.41,44.105,32.983,34.651,4.833,150.536,Wheat
103.184,50.368,21.701,21.548,67.378,6.875,149.808,Wheat
38.586,15.907,47.701,44.005,78.374,6.736,369.488,Wheat
25.434,73.023,15.578,14.595,90.586,5.483,108.863,Wheat
91.913,18.103,97.942,28.492,80.298,4.995,39.737,Wheat
82.816,11.564,95.525,33.081,53.059,5.68,57.623,Wheat
128.931,31.524,82.023,19.69,81.517,7.723,52.209,Wheat
47.921,15.394,96.298,37.472,63.077,7.582,339.844,Wheat
133.738,13.227,89.626,44.514,70.099,5.665,373.377,Wheat
109.727,22.776,83.347,22.575,98.334,5.19,74.374,Wheat
128.294,80.171,94.385,17.463,51.859,5.521,109.171,Wheat
121.348,70.512,17.401,30.131,39.364,7.539,335.229,Wheat
85.15,64.869,28.96,35.269,44.805,5.104,132.66,Wheat
86.113,19.468,13.555,43.757,82.064,6.58,118.897,Wheat
5.267,38.976,70.536,31.715,60.279,7.029,198.38,Wheat
110.001,66.2,84.237,10.798,85.454,4.537,88.437,Wheat
10.243,47.966,30.743,20.88,58.52,7.593,341.319,Wheat
23.834,13.096,75.512,39.222,50.33,7.479,367.99,Wheat
130.388,58.574,74.503,21.666,90.574,6.479,46.989,Wheat
137.458,6.413,15.651,34.334,95.501,5.315,92.041,Wheat
48.982,12.061,19.958,20.268,78.778,5.568,166.627,Wheat
79.259,62.043,54.485,11.381,78.492,6.923,78.086,Wheat
118.454,35.227,88.097,22.62,39.366,6.45,399.364,Wheat
7.685,76.857,72.876,42.626,75.648,7.697,297.868,Wheat
27.56,26.253,10.438,19.814,99.037,4.746,321.803,Wheat
87.988,78.324,86.249,23.26,31.965,5.736,149.411,Wheat
106.714,65.903,25.506,42.685,43.585,5.247,124.471,Wheat
10.016,70.137,79.126,35.441,41.221,6.528,41.629,Wheat
138.653,35.477,33.365,25.137,57.012,7.64,247.229,Wheat
86.304,87.809,49.509,39.381,88.897,4.659,226.537,Wheat
101.63,22.212,59.241,17.242,95.965,4.693,178.583,Wheat
40.43,30.655,50.436,44.295,95.959,6.059,244.686,Wheat
13.088,65.036,77.353,11.021,34.742,4.956,184.596,Wheat
104.082,64.561,84.844,13.142,44.274,4.739,360.65,Wheat
122.057,40.725,40.839,36.855,48.017,4.549,213.415,Wheat
49.973,71.221,54.219,29.177,30.122,6.332,268.155,Wheat
27.117,26.366,51.716,19.305,43.532,4.678,130.979,Wheat
138.778,62.764,52.792,23.386,57.338,5.83,88.027,Wheat
126.697,54.558,50.946,20.02,96.793,6.661,294.148,Wheat
81.417,74.628,52.71,42.341,47.106,4.759,151.494,Wheat
130.991,40.78,11.484,31.556,59.827,6.689,42.801,Wheat
15.866,10.85,75.98,26.321,82.143,5.237,184.588,Wheat
46.087,34.477,73.166,16.404,56.209,5.756,155.842,Wheat
125.571,76.897,41.506,41.281,92.454,4.688,239.806,Wheat
41.607,87.456,75.757,38.002,62.957,5.334,179.436,Wheat
85.386,76.54,36.957,23.547,53.693,5.207,31.803,Wheat
81.338,35.797,91.768,37.814,93.294,4.657,389.457,Wheat
17.021,59.612,44.881,39.902,67.593,4.968,328.331,Wheat
59.209,89.655,13.352,42.613,99.762,7.24,341.765,Wheat
76.725,46.528,48.996,26.344,44.18,4.604,162.352,Wheat
106.872,87.41,17.922,16.889,42.812,8.187,93.131,Wheat
53.893,79.092,94.787,33.49,91.216,6.843,166.073,Wheat
22.287,55.324,17.144,16.007,60.951,6.036,202.465,Wheat
12.009,63.502,25.933,17.149,62.027,5.374,291.233,Wheat
133.631,67.646,37.78,27.991,53.467,5.571,109.128,Wheat
131.403,58.006,67.734,22.843,30.048,7.291,39.584,Wheat
118.813,66.265,88.328,32.357,73.424,7.703,81.065,Wheat
139.766,26.362,36.435,38.354,51.541,6.814,366.429,Wheat
103.631,43.213,12.419,25.092,73.993,4.715,179.194,Wheat
93.527,26.284,86.406,21.578,47.859,7.883,312.255,Wheat
46.109,38.341,19.419,27.716,38.113,5.638,54.377,Wheat
147.546,14.27,40.406,14.54,70.444,5.44,387.064,Wheat
44.353,73.158,79.677,19.657,92.175,6.127,122.723,Wheat
33.899,49.59,51.759,22.012,80.853,8.483,101.785,Wheat
44.15,60.99,64.685,31.09,64.424,8.148,78.646,Wheat
102.891,31.306,21.978,25.311,59.717,7.407,365.639,Wheat
22.081,27.516,15.38,42.074,70.799,7.478,349.733,Wheat
42.317,70.549,62.111,12.245,68.253,5.629,110.053,Wheat
56.947,82.139,27.32,30.567,79.951,5.591,119.4,Wheat
21.56,66.104,34.235,11.858,59.301,5.938,311.394,Wheat
94.405,74.787,13.082,13.239,62.979,7.471,80.817,Wheat
29.004,22.39,48.026,42.018,79.358,6.446,249.454,Wheat
29.677,79.569,81.356,39.101,68.671,4.875,28.341,Wheat
128.508,56.519,27.213,44.179,88.096,5.371,362.163,Wheat
119.415,83.378,36.208,29.827,80.524,6.046,242.732,Wheat
144.577,28.818,25.645,22.896,58.497,5.501,386.93,Wheat
117.376,60.123,74.555,21.379,36.523,7.888,99.811,Wheat
58.361,48.38,29.18,39.207,89.842,7.845,361.206,Wheat
141.575,49.242,91.011,26.161,65.756,8.281,27.311,Wheat
32.787,65.059,12.19,20.87,33.521,6.978,202.069,Wheat
83.057,48.558,18.977,34.22,76.09,7.519,131.48,Wheat
132.348,16.053,65.366,13.878,51.183,5.822,105.106,Wheat
106.675,67.452,68.405,35.739,99.014,5.223,312.736,Wheat
109.061,88.507,73.385,26.782,51.869,5.37,70.834,Wheat
7.073,56.774,93.939,41.578,65.107,5.944,233.855,Wheat
99.678,36.964,65.475,44.251,49.814,8.294,196.679,Wheat
93.811,77.069,47.646,25.021,71.212,5.732,225.189,Wheat
30.31,25.93,49.109,13.434,68.084,6.561,64.188,Wheat
8.338,87.662,92.871,37.616,47.065,6.633,291.481,Wheat
85.786,11.087,22.272,20.264,67.395,8.423,30.628,Wheat
63.618,5.15,25.43,13.537,73.941,5.557,326.266,Wheat
9.114,27.303,30.986,43.882,39.874,5.172,292.0,Wheat
122.593,85.109,50.635,33.212,41.249,6.991,82.432,Wheat
80.431,16.167,16.8,26.218,74.481,4.93,168.724,Wheat
26.999,40.462,70.966,32.318,57.297,6.05,60.299,Wheat
23.718,39.3,25.848,27.743,96.408,6.664,336.251,Wheat
58.024,86.393,77.618,32.193,50.019,6.001,180.425,Wheat
99.313,61.647,26.238,15.041,88.989,5.105,357.525,Wheat
123.36,72.329,13.938,14.664,46.987,4.877,366.698,Wheat
122.857,32.224,83.646,37.707,47.893,7.709,317.258,Wheat
11.292,89.006,38.098,20.043,58.887,7.206,169.171,Wheat
75.226,17.587,77.571,40.077,69.333,5.842,50.511,Wheat
48.373,31.755,74.24,20.79,96.757,7.211,37.222,Wheat
149.979,6.693,82.264,24.409,42.771,7.922,314.111,Wheat
42.426,85.745,30.061,42.434,88.306,7.628,69.168,Wheat
75.832,18.12,80.983,25.815,31.975,7.571,294.108,Wheat
99.883,71.321,26.982,22.257,81.266,6.705,356.326,Wheat
139.613,76.165,49.618,29.75,87.781,7.016,286.102,Wheat
97.024,81.466,54.492,22.606,68.534,7.867,170.371,Wheat
81.996,11.599,19.427,10.17,90.464,7.234,394.967,Wheat
129.367,89.859,41.758,35.665,46.131,8.38,58.47,Wheat
37.602,7.341,28.165,25.247,34.075,8.157,38.413,Wheat
21.541,70.104,66.402,32.39,58.422,8.125,316.549,Wheat
100.305,59.812,92.175,12.232,68.302,5.572,160.327,Wheat
136.689,58.074,75.557,27.444,42.672,4.515,363.714,Wheat
116.74,76.583,37.597,29.26,91.208,8.192,97.085,Wheat
146.794,55.735,99.374,44.323,33.517,8.487,231.574,Wheat
115.549,23.351,98.554,13.568,95.229,7.708,45.48,Wheat
74.119,52.023,76.774,31.34,88.3,6.038,262.157,Wheat
76.726,35.42,63.028,14.041,60.677,6.061,37.216,Wheat
51.572,10.754,60.018,12.835,99.09,5.246,194.766,Wheat
40.479,20.839,40.218,32.508,48.158,4.651,80.332,Wheat
57.319,87.955,56.383,39.915,63.572,5.584,196.136,Wheat
52.063,33.853,91.56,27.043,96.317,8.203,286.046,Wheat
81.76,71.178,89.111,36.691,33.392,4.701,296.159,Wheat
49.601,31.006,74.345,35.842,50.655,8.079,235.591,Wheat
85.786,41.886,68.383,12.057,50.111,6.435,111.146,Wheat
6.897,16.963,44.192,32.686,77.785,4.602,281.083,Wheat
119.199,70.866,63.138,42.842,85.239,6.317,231.263,Wheat
124.842,57.152,23.947,23.266,74.635,6.057,74.657,Wheat
136.733,62.787,58.146,30.283,45.177,6.057,73.142,Wheat
37.667,87.554,94.256,35.739,42.732,7.949,253.422,Wheat
78.339,75.389,68.455,26.133,49.229,6.735,390.44,Wheat
62.214,26.318,20.071,43.085,71.447,8.045,203.321,Wheat
35.55,31.866,76.611,16.509,40.945,7.476,289.968,Wheat
92.79,81.578,48.223,13.649,33.538,7.039,217.545,Wheat
78.066,52.059,45.57,21.37,39.805,7.795,263.578,Wheat
25.949,39.184,55.551,30.374,41.117,5.763,340.056,Wheat
40.24,89.112,33.509,42.508,74.425,7.519,71.781,Wheat
109.177,88.509,28.051,41.248,34.191,6.188,398.643,Wheat
84.092,27.652,68.277,38.852,61.246,5.525,312.289,Wheat
71.919,11.982,42.324,11.329,66.552,6.271,212.822,Wheat
138.947,21.893,11.902,21.775,47.132,5.442,198.693,Wheat
100.882,46.18,77.281,29.446,46.445,5.165,365.688,Wheat
88.016,26.681,27.809,17.028,75.145,4.537,94.625,Wheat
92.577,62.337,12.258,14.552,46.911,5.936,105.921,Wheat
26.381,69.813,65.281,26.124,70.18,6.55,129.095,Wheat
114.398,69.944,31.592,14.691,82.849,5.514,302.291,Wheat
103.188,19.403,91.57,29.853,81.595,5.715,46.777,Wheat
121.695,37.134,60.686,10.637,64.516,6.073,229.916,Wheat
39.134,76.314,52.698,17.585,39.514,5.221,89.037,Wheat
70.299,24.149,52.59,13.1,82.725,5.671,78.765,Wheat
37.14,59.865,24.874,42.013,59.948,8.372,211.472,Wheat
140.992,20.558,38.611,17.478,83.133,6.129,69.14,Wheat
37.654,19.978,50.72,44.327,79.099,5.914,111.107,Wheat
126.135,71.034,39.429,16.303,44.895,5.399,305.441,Wheat
36.103,66.268,44.619,21.192,87.021,8.317,379.181,Wheat
24.563,36.179,98.858,44.376,32.499,6.227,128.196,Wheat
53.037,81.021,89.148,17.317,45.805,5.868,260.95,Wheat
57.84,65.084,37.257,39.499,58.5,7.227,102.731,Wheat
94.003,56.783,60.216,31.485,62.902,8.049,265.736,Wheat
77.764,16.501,92.755,39.26,73.808,5.079,112.965,Wheat
140.095,52.2,36.3,26.227,38.559,6.886,84.903,Wheat
83.077,66.608,95.487,41.893,96.137,6.369,209.427,Wheat
33.085,38.738,57.004,32.144,44.046,8.331,317.799,Wheat
138.789,12.457,30.814,37.797,64.333,4.88,76.395,Wheat
147.993,34.981,62.469,34.595,43.517,8.492,258.896,Wheat
32.919,80.813,15.952,27.602,95.669,5.216,375.729,Wheat
141.751,56.419,50.365,31.919,79.107,8.005,279.264,Wheat
22.883,57.807,32.609,13.601,33.417,4.583,368.65,Wheat
37.415,44.501,87.377,20.983,31.716,6.026,229.08,Wheat
103.295,12.3,55.12,34.181,77.511,5.158,373.838,Wheat
78.992,50.777,96.556,44.18,94.957,5.99,138.692,Wheat
72.838,42.115,16.811,20.336,52.647,4.703,225.764,Wheat
74.872,65.763,80.368,11.981,39.866,7.328,156.773,Wheat
97.317,66.512,82.345,26.861,90.158,5.225,116.288,Wheat
72.878,6.067,27.036,18.183,49.972,7.207,20.715,Wheat
107.574,6.501,10.885,16.219,66.553,7.33,161.04,Wheat
52.553,69.954,81.111,36.606,94.325,6.735,341.555,Wheat
64.21,38.946,35.841,22.564,86.281,8.458,268.139,Wheat
147.048,80.949,83.561,18.524,73.506,7.511,27.441,Wheat
53.648,59.04,49.649,40.042,78.061,6.891,154.747,Wheat
128.966,63.631,14.065,42.94,55.494,5.937,293.829,Wheat
119.301,16.854,11.984,39.962,40.046,6.822,226.08,Wheat
62.342,54.146,78.675,38.97,70.36,7.686,204.893,Wheat
46.613,17.86,11.698,27.162,47.884,5.997,292.454,Wheat
73.123,64.259,59.923,14.964,85.253,4.823,106.869,Wheat
127.691,82.581,29.901,25.396,93.302,5.112,181.332,Wheat
61.691,56.26,29.948,28.177,91.204,7.88,48.215,Wheat
84.41,53.758,23.074,15.276,49.186,5.439,213.383,Wheat
45.7,46.388,66.593,39.845,56.706,4.947,75.615,Wheat
81.907,30.095,67.667,26.339,94.391,5.533,349.046,Wheat
61.162,83.306,90.269,19.37,42.863,8.022,114.696,Wheat
113.729,37.63,85.938,31.125,83.143,6.39,398.445,Wheat
93.309,58.182,84.629,14.488,96.506,4.884,95.641,Wheat
23.745,5.363,78.867,28.952,93.282,7.354,181.567,Wheat
84.391,61.68,81.949,18.828,45.985,8.021,317.188,Wheat
146.491,30.919,38.854,41.087,95.737,6.685,91.642,Wheat
149.425,78.668,54.537,43.451,62.182,6.224,366.622,Wheat
16.858,34.425,41.145,18.237,38.059,5.421,126.853,Wheat
103.677,33.161,22.367,43.776,70.088,7.803,146.82,Wheat
145.68,11.093,68.266,28.831,90.136,6.425,173.315,Wheat
105.097,25.65,47.333,15.587,73.921,5.156,288.49,Wheat
140.334,48.866,35.816,25.359,93.987,5.933,150.767,Wheat
44.795,65.633,61.758,28.766,99.778,6.057,235.287,Wheat
112.894,87.412,98.156,35.349,49.559,7.771,80.772,Wheat
149.953,78.87,79.011,24.546,40.081,5.176,255.01,Wheat
146.449,86.324,56.066,30.038,31.615,6.947,297.782,Wheat
73.782,21.374,91.515,31.461,71.259,7.169,363.58,Wheat
85.757,80.999,57.597,30.74,68.978,5.702,202.901,Wheat
27.634,68.759,76.386,34.085,34.444,8.233,96.762,Wheat
43.733,86.154,87.661,11.868,52.871,8.497,323.784,Wheat
100.692,88.566,84.388,17.031,61.244,8.114,207.544,Wheat
19.118,7.833,57.531,40.008,31.427,7.41,88.105,Wheat
13.284,30.61,83.05,42.006,87.394,4.674,93.758,Wheat
55.041,86.521,91.378,26.795,98.855,5.828,254.141,Wheat
87.756,75.224,22.63,15.744,37.699,8.086,264.978,Wheat
132.791,89.676,82.813,12.45,31.092,7.287,312.422,Wheat
53.173,17.221,42.006,24.526,35.757,4.568,30.826,Wheat
72.302,32.132,39.441,15.584,63.679,5.425,33.212,Wheat
113.385,68.746,69.855,40.199,61.95,6.651,364.197,Wheat
22.969,69.293,16.427,35.841,57.102,7.1,268.117,Wheat
61.834,74.316,15.86,11.856,74.686,6.816,105.834,Wheat
102.947,45.985,52.511,42.004,77.406,7.117,132.28,Wheat
12.389,15.976,70.789,11.096,41.984,7.833,377.478,Wheat
72.685,20.19,29.628,42.987,46.406,5.307,326.731,Wheat
94.014,52.493,48.811,10.72,75.298,5.959,186.342,Wheat
100.416,48.336,67.396,22.133,97.672,7.634,305.77,Wheat
126.759,50.478,27.602,15.031,57.96,6.218,396.655,Wheat
27.131,6.674,84.287,33.473,36.614,7.632,206.449,Wheat
53.46,41.206,15.466,24.353,98.919,7.653,156.023,Wheat
146.15,83.787,94.833,43.195,30.016,7.242,298.488,Wheat
120.911,6.955,84.756,38.688,43.648,5.818,331.375,Wheat
141.846,77.639,91.902,38.15,62.953,7.344,71.915,Wheat
131.738,59.452,62.363,44.758,47.261,8.178,234.982,Wheat
81.732,15.714,19.817,44.891,98.559,7.543,213.562,Wheat
131.456,59.724,77.658,36.477,52.7,6.981,324.43,Wheat
65.237,43.773,21.891,36.543,46.286,8.015,198.642,Wheat
36.193,68.1,68.939,29.805,31.724,6.053,298.377,Wheat
37.114,72.076,71.972,13.359,30.345,8.131,216.552,Wheat
47.999,6.136,71.428,21.308,64.489,6.476,378.714,Wheat
129.544,77.672,88.912,21.917,85.103,5.924,110.37,Wheat
133.638,14.424,68.803,24.777,81.959,7.786,361.218,Wheat
44.81,83.99,40.718,36.884,62.043,6.197,241.923,Wheat
39.69,21.271,92.899,26.462,95.728,5.699,315.669,Wheat
14.176,83.559,70.008,13.477,95.474,6.382,337.111,Wheat
60.388,44.179,86.56,13.885,97.011,7.837,194.326,Wheat
62.874,84.437,85.94,37.919,46.86,6.226,200.628,Wheat
15.334,68.515,79.788,40.22,39.664,8.092,318.251,Wheat
68.369,24.966,50.411,24.375,60.981,6.805,273.65,Wheat
52.469,73.938,52.147,26.291,62.432,6.584,208.503,Wheat
23.817,60.465,32.823,18.914,57.824,7.525,366.736,Wheat
96.81,7.298,43.465,19.255,70.002,7.677,130.922,Wheat
103.883,6.255,75.616,18.98,55.079,5.18,239.638,Wheat
145.067,58.798,10.772,10.403,90.793,6.884,165.798,Wheat
149.115,34.447,81.239,19.97,48.613,5.313,225.963,Wheat
35.484,52.328,67.53,28.633,50.094,4.689,355.079,Wheat
134.533,28.678,12.554,13.902,43.12,6.506,58.166,Wheat
112.021,43.543,71.479,37.481,95.876,5.259,232.932,Wheat
149.599,44.45,51.628,30.333,91.324,8.432,209.313,Wheat
103.371,51.333,30.259,41.579,82.962,6.524,30.128,Wheat
7.395,48.047,87.647,44.714,50.638,5.46,344.128,Wheat
79.519,82.617,88.696,41.036,91.275,5.518,28.144,Wheat
126.05,77.109,15.848,25.754,98.672,4.813,381.302,Wheat
72.981,68.765,76.447,35.593,51.824,7.497,51.574,Wheat
129.955,81.937,42.29,15.952,60.557,8.383,335.678,Wheat
33.115,71.658,24.45,37.56,56.765,5.785,340.345,Wheat
102.139,6.321,93.645,33.429,36.21,7.345,90.26,Wheat
140.378,84.194,96.335,18.517,42.287,8.229,49.938,Wheat
83.635,48.755,90.928,13.62,64.967,5.549,45.997,Wheat
101.581,80.691,69.198,11.381,81.575,7.174,226.663,Wheat
145.844,10.83,95.856,38.71,63.548,8.229,138.843,Wheat
142.667,11.647,28.594,37.629,58.108,5.448,114.24,Wheat
146.998,86.857,63.855,43.594,97.932,7.146,310.558,Wheat
128.82,72.322,40.791,39.589,59.699,8.019,186.717,Wheat
143.318,43.695,13.368,25.59,80.517,8.469,110.37,Wheat
26.733,60.176,62.066,25.821,48.596,7.491,31.903,Wheat
78.319,81.27,52.85,35.189,47.274,4.714,231.84,Wheat
115.656,39.617,60.222,16.299,51.913,6.264,328.546,Wheat
146.957,32.79,38.879,25.877,75.011,8.442,113.633,Wheat
91.351,10.517,90.036,10.265,52.993,4.766,341.126,Wheat
149.867,64.997,17.91,12.275,80.25,6.64,239.284,Wheat
136.286,84.178,64.832,20.836,85.478,8.409,275.686,Wheat
139.135,20.317,67.642,24.876,41.645,7.543,396.071,Wheat
65.28,25.163,61.966,39.084,33.611,8.455,258.525,Wheat
79.061,8.319,77.51,23.616,42.297,6.966,84.301,Wheat
6.333,82.906,66.865,14.784,63.091,5.542,28.81,Wheat
44.214,89.235,54.456,21.476,62.337,7.483,317.302,Wheat
99.841,32.586,27.438,41.697,51.901,6.286,299.789,Wheat
69.647,6.941,77.887,13.561,48.742,6.503,122.214,Wheat
12.301,69.407,60.803,37.183,36.082,8.17,168.358,Wheat
142.686,42.731,20.828,25.032,40.066,5.872,205.821,Wheat
42.877,47.83,84.488,38.8,31.849,4.999,30.155,Wheat
18.984,42.856,75.01,12.749,60.59,5.356,157.514,Wheat
143.294,61.548,18.42,19.06,77.726,6.216,40.064,Wheat
141.078,23.715,45.245,37.944,94.358,8.17,97.88,Wheat
126.425,47.07,47.681,35.476,95.918,7.313,250.583,Wheat
29.075,76.43,28.094,37.277,97.672,4.62,166.516,Wheat
23.005,43.693,34.836,11.066,40.577,5.943,102.035,Wheat
138.334,83.191,30.821,13.53,50.63,7.184,393.051,Wheat
90.361,89.501,16.675,12.772,72.245,7.794,376.566,Wheat
76.21,17.664,82.796,17.202,68.938,5.358,89.451,Wheat
94.739,54.122,83.145,12.035,98.302,6.077,234.967,Wheat
78.574,20.495,75.094,27.918,87.235,6.68,301.769,Wheat
88.586,18.593,42.509,15.568,40.838,4.613,363.393,Wheat
148.665,83.381,85.429,22.268,40.92,7.442,188.429,Wheat
116.261,79.994,89.507,16.103,36.69,6.897,207.335,Wheat
30.079,32.276,48.601,26.823,65.27,6.204,64.714,Wheat
14.459,12.392,24.016,34.445,71.469,4.917,299.035,Wheat
100.216,84.092,79.092,17.304,93.319,7.397,322.556,Wheat
74.879,78.145,39.102,14.733,95.328,6.732,129.411,Wheat
78.127,59.653,87.95,36.977,55.791,6.559,348.583,Wheat
56.909,66.256,11.958,41.371,58.659,7.858,52.62,Wheat
57.565,19.454,43.613,26.643,31.575,5.998,56.353,Wheat
103.35,33.142,96.818,18.01,62.948,6.064,23.395,Wheat
91.607,15.496,38.631,12.666,45.491,7.076,98.454,Wheat
108.226,23.746,34.941,14.302,84.2,4.995,122.234,Wheat
30.742,38.005,67.202,14.503,47.551,8.29,319.615,Wheat
28.46,20.633,93.838,44.624,52.268,5.848,351.415,Wheat
137.615,55.978,73.152,11.597,45.026,7.519,295.853,Wheat
43.577,55.974,74.631,25.54,76.166,5.762,46.584,Wheat
47.845,61.128,25.791,19.28,65.312,6.089,290.333,Wheat
113.55,75.203,89.614,36.072,61.882,5.569,351.031,Wheat
113.754,8.048,79.121,12.202,50.113,6.364,197.002,Wheat
41.083,44.913,16.38,41.252,78.899,5.069,264.577,Wheat
73.306,68.708,11.004,16.896,76.138,7.574,160.463,Wheat
60.039,50.315,59.636,20.71,97.048,7.217,378.029,Wheat
72.1,11.106,22.657,39.133,35.174,4.976,182.033,Wheat
82.206,25.894,68.489,39.577,88.163,6.645,250.482,Wheat
79.84,85.478,22.744,11.838,83.663,7.45,140.208,Wheat
90.281,78.129,75.448,42.529,80.394,7.723,383.366,Wheat
7.812,55.676,58.799,42.751,36.321,6.67,392.617,Wheat
134.037,34.596,56.68,19.294,91.387,7.851,149.422,Wheat
47.599,39.058,11.267,28.64,45.993,6.712,73.817,Wheat
19.543,31.233,87.525,26.4,80.409,7.129,145.64,Wheat
90.155,89.792,79.486,17.723,93.666,4.695,158.634,Wheat
40.544,82.983,67.146,25.707,39.949,6.738,260.776,Wheat
106.822,62.142,49.435,33.985,91.898,6.98,393.53,Wheat
90.345,14.343,60.007,19.533,98.412,4.629,313.764,Wheat
122.002,67.45,55.361,10.787,49.346,6.397,371.263,Wheat
35.137,36.797,14.614,12.916,97.613,6.226,210.533,Wheat
123.338,58.465,27.549,22.726,80.767,8.221,352.447,Wheat
110.474,18.617,73.384,10.135,51.351,4.777,287.134,Wheat
113.072,12.274,56.171,23.451,34.687,7.811,359.722,Wheat
48.516,73.604,27.207,21.127,70.909,5.306,86.571,Wheat
108.595,83.777,38.192,37.871,39.755,8.385,136.903,Wheat
85.628,40.328,58.742,39.75,49.175,7.592,197.35,Wheat
26.142,44.391,47.804,25.126,52.004,6.09,332.597,Wheat
138.046,7.96,23.272,12.802,98.605,6.475,140.773,Wheat
61.823,19.023,44.492,28.947,97.064,6.775,314.446,Wheat
